IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
158.247.253.111,2087,ICN,KR [CD#04 116.9MB/s],true,2,2,0.00,136.68,116.91
104.21.198.99,2096,AMS,NL [CD#01 5.8MB/s],true,2,2,0.00,210.97,5.80
104.21.198.189,2096,AMS,NL [CD#02 45.5MB/s],true,2,2,0.00,220.17,45.52
104.21.4.104,8443,AMS,NL [CD#03 5.2MB/s],true,2,2,0.00,220.41,5.21
104.21.198.253,2096,AMS,NL [CD#04 5.7MB/s],true,2,2,0.00,220.48,5.72
172.67.128.126,2053,AMS,NL [CD#05 18.8MB/s],true,2,2,0.00,220.90,18.82
104.21.198.120,2096,AMS,NL [CD#06 6.6MB/s],true,2,2,0.00,223.10,6.64
188.114.96.7,443,AMS,NL [CD#07 5.2MB/s],true,2,2,0.00,223.46,5.17
172.67.128.181,2053,AMS,NL [CD#08 14.2MB/s],true,2,2,0.00,227.15,14.18
104.21.73.123,2096,AMS,NL [CD#09 12.6MB/s],true,2,2,0.00,227.84,12.63
104.21.4.78,8443,AMS,NL [CD#10 5.8MB/s],true,2,2,0.00,228.00,5.81
104.21.4.38,8443,AMS,NL [CD#11 29.1MB/s],true,2,2,0.00,229.26,29.06
104.21.29.250,2087,AMS,NL [CD#12 2.8MB/s],true,2,2,0.00,229.44,2.82
104.21.73.125,2096,AMS,NL [CD#13 21.7MB/s],true,2,2,0.00,229.75,21.67
172.67.128.108,2053,AMS,NL [CD#14 4.5MB/s],true,2,2,0.00,229.88,4.49
104.21.198.113,2096,AMS,NL [CD#15 0.9MB/s],true,2,2,0.00,233.57,0.89
188.114.96.125,443,AMS,NL [CD#16 31.0MB/s],true,2,2,0.00,243.52,30.97
188.114.96.6,443,AMS,NL [CD#17 2.5MB/s],true,2,2,0.00,249.60,2.46
188.114.96.249,443,AMS,NL [CD#18 21.6MB/s],true,2,2,0.00,249.85,21.55
104.21.73.58,2096,AMS,NL [CD#19 5.8MB/s],true,2,2,0.00,250.95,5.83
104.21.73.214,2096,AMS,NL [CD#20 11.6MB/s],true,2,2,0.00,256.79,11.59
104.18.33.62,443,SIN,SG [CD#01 128.2MB/s],true,2,2,0.00,70.99,128.17
172.64.159.251,443,SIN,SG [CD#02 128.1MB/s],true,2,2,0.00,71.45,128.07
172.64.148.57,2096,SIN,SG [CD#03 128.0MB/s],true,2,2,0.00,71.53,128.01
172.64.148.253,2096,SIN,SG [CD#04 110.4MB/s],true,2,2,0.00,71.68,110.41
172.64.148.157,2096,SIN,SG [CD#05 123.8MB/s],true,2,2,0.00,71.78,123.84
172.64.159.247,443,SIN,SG [CD#06 127.9MB/s],true,2,2,0.00,71.97,127.94
104.18.41.180,443,SIN,SG [CD#07 127.7MB/s],true,2,2,0.00,72.07,127.69
172.64.148.126,2096,SIN,SG [CD#08 128.0MB/s],true,2,2,0.00,72.24,127.97
172.64.148.244,2096,SIN,SG [CD#09 128.0MB/s],true,2,2,0.00,72.88,127.98
172.64.147.112,443,SIN,SG [CD#10 127.3MB/s],true,2,2,0.00,73.07,127.31
172.64.148.118,2096,SIN,SG [CD#11 128.2MB/s],true,2,2,0.00,73.31,128.16
172.64.148.252,2096,SIN,SG [CD#12 128.0MB/s],true,2,2,0.00,73.47,127.95
172.64.148.188,2096,SIN,SG [CD#13 128.1MB/s],true,2,2,0.00,73.76,128.09
172.64.148.125,2096,SIN,SG [CD#14 128.1MB/s],true,2,2,0.00,74.00,128.07
172.64.148.105,2096,SIN,SG [CD#15 128.2MB/s],true,2,2,0.00,74.27,128.23
172.64.148.53,2096,SIN,SG [CD#16 102.3MB/s],true,2,2,0.00,75.31,102.27
172.64.148.184,2096,SIN,SG [CD#17 127.7MB/s],true,2,2,0.00,75.34,127.66
104.18.40.212,443,SIN,SG [CD#18 128.0MB/s],true,2,2,0.00,75.46,128.02
172.64.152.122,443,SIN,SG [CD#19 128.1MB/s],true,2,2,0.00,76.28,128.13
172.64.148.185,2096,SIN,SG [CD#20 127.7MB/s],true,2,2,0.00,76.84,127.69
103.118.41.130,443,TPE,TW [CD#01 6.6MB/s],true,2,2,0.00,50.39,6.55
207.56.137.174,443,TPE,TW [CD#02 0.7MB/s],true,2,2,0.00,60.97,0.67
220.135.105.32,2087,TPE,TW [CD#03 11.4MB/s],true,2,2,0.00,69.99,11.37
114.32.9.249,443,TPE,TW [CD#04 6.3MB/s],true,2,2,0.00,72.98,6.27
23.146.248.149,443,TPE,TW [CD#05 0.3MB/s],true,2,2,0.00,256.65,0.34
130.94.36.232,443,TPE,TW [CD#06 0.1MB/s],true,2,2,0.00,264.69,0.13
142.249.60.51,443,TPE,TW [CD#07 0.6MB/s],true,2,2,0.00,311.45,0.57
154.40.60.193,443,TPE,TW [CD#08 0.7MB/s],true,2,2,0.00,312.22,0.72
85.237.207.126,443,TPE,TW [CD#09 0.6MB/s],true,2,2,0.00,312.90,0.58
151.242.189.137,443,TPE,TW [CD#10 0.5MB/s],true,2,2,0.00,317.39,0.45
151.242.189.40,443,TPE,TW [CD#11 0.7MB/s],true,2,2,0.00,317.78,0.67
78.105.183.11,8443,TPE,TW [CD#12 0.6MB/s],true,2,2,0.00,326.17,0.59
188.253.6.249,443,TPE,TW [CD#13 0.2MB/s],true,2,2,0.00,327.74,0.17
