IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
179.253.241.90,443,LAX,US [CDCM#07 18.9MB/s],true,3,3,0.00,176.17,18.89
64.186.239.66,443,LAX,US [CDCM#08 14.1MB/s],true,3,3,0.00,176.17,14.06
179.253.240.26,443,LAX,US [CDCM#09 10.7MB/s],true,3,3,0.00,176.62,10.73
69.63.192.91,443,LAX,US [CDCM#10 21.7MB/s],true,3,3,0.00,177.08,21.70
179.253.248.133,443,PDX,US [CDCM#11 15.1MB/s],true,3,3,0.00,177.08,15.08
179.255.152.239,443,LAX,US [CDCM#12 15.8MB/s],true,3,3,0.00,177.11,15.79
192.204.58.167,8443,LAX,US [CDCM#13 10.9MB/s],true,3,3,0.00,200.72,10.85
38.105.25.70,8443,LAX,US [CDCM#14 4.2MB/s],true,3,3,0.00,207.77,4.18
154.40.50.111,8443,LAX,US [CDCM#15 6.7MB/s],true,3,3,0.00,213.36,6.71
87.99.132.161,2083,IAD,US [CDCM#16 5.1MB/s],true,3,3,0.00,256.29,5.14
178.156.164.47,2053,IAD,US [CDCM#17 9.5MB/s],true,3,3,0.00,267.34,9.50
92.118.8.248,443,AMS,NL [CDCM#01 13.0MB/s],true,3,3,0.00,240.24,13.02
91.193.59.65,2083,HKG,HK [CDCM#17 18.6MB/s],true,5,5,0.00,54.74,18.55
91.193.58.172,443,HKG,HK [CDCM#18 9.3MB/s],true,5,5,0.00,54.59,9.29
91.193.59.163,8443,HKG,HK [CDCM#19 8.5MB/s],true,5,5,0.00,53.77,8.53
91.193.58.146,2053,HKG,HK [CDCM#20 7.2MB/s],true,10,10,0.00,54.07,7.22
91.193.59.156,2096,HKG,HK [CDCM#21 7.2MB/s],true,5,5,0.00,52.67,7.17
91.193.58.208,8443,HKG,HK [CDCM#22 6.0MB/s],true,5,5,0.00,53.88,5.97
91.193.58.30,8443,HKG,HK [CDCM#23 3.4MB/s],true,5,5,0.00,54.35,3.43
91.193.58.51,2096,HKG,HK [CDCM#24 3.0MB/s],true,5,5,0.00,54.97,2.97
188.164.248.175,2083,SEA,US [CDCM#18 2.4MB/s],true,5,5,0.00,252.13,2.36
8.39.125.67,2096,LAX,US [CDCM#19 2.2MB/s],true,5,5,0.00,224.06,2.20
162.159.160.50,2053,FRA,DE [CDCM#06 69.5MB/s],true,10,10,0.00,224.89,69.50
